Time,ACCx,ACCy,ACCz,GYRx,GYRy,GYRz,MAGx,MAGy,MAGz,Motor_Speed,
219.943,-0.067,0.011,-0.041,0.061,0.395,2.146,-68.267,414.383,-655.432,,
219.948,-0.11,0.001,-0.051,-0.053,0.325,1.244,-68.267,414.383,-655.432,,
219.953,-0.11,0.001,-0.051,-0.132,0.5,9.198,-68.267,414.383,-655.432,,
219.957,-0.102,0.009,-0.056,-0.132,0.5,9.198,-68.267,414.383,-655.432,,
219.962,-0.102,0.009,-0.056,-0.132,0.5,9.198,-126.657,392.753,-583.308,,
219.966,-0.087,0.013,-0.041,-0.263,0.605,17.292,-126.657,392.753,-583.308,,
219.971,-0.087,0.013,-0.041,-0.263,0.605,17.292,-126.657,392.753,-583.308,,
219.975,-0.087,0.013,-0.041,-0.569,0.491,23.793,-126.657,392.753,-583.308,,
219.98,-0.089,0.01,-0.031,-0.569,0.491,23.793,-126.657,392.753,-583.308,,
219.985,-0.089,0.01,-0.031,-0.569,0.491,28.518,-159.153,400.139,-536.343,,
219.989,-0.076,0.01,-0.042,-1.033,0.263,28.518,-159.153,400.139,-536.343,,
219.994,-0.076,0.01,-0.042,-1.033,0.263,28.518,-159.153,400.139,-536.343,,
219.998,-0.088,0.004,-0.048,-0.666,0.132,32.412,-159.153,400.139,-536.343,,
220.003,-0.088,0.004,-0.048,-0.666,0.132,32.412,-152.044,402.249,-497.345,,
220.008,-0.088,0.01,-0.051,-0.692,0.158,35.361,-152.044,402.249,-497.345,,
220.012,-0.083,0.01,-0.051,-0.692,0.158,35.361,-152.044,402.249,-497.345,,
220.017,-0.083,0.01,-0.051,-0.692,0.158,35.361,-152.044,402.249,-497.345,,
220.021,-0.083,0.022,-0.034,-1.024,0.325,37.671,-152.044,402.249,-497.345,,
220.026,-0.083,0.022,-0.034,-1.024,0.325,37.671,-169.815,398.028,-436.962,,
220.03,-0.069,0.018,-0.056,-0.876,0.132,39.307,-169.815,398.028,-436.962,,
220.035,-0.069,0.018,-0.056,-0.876,0.132,39.307,-169.815,398.028,-436.962,,
220.04,-0.082,0.004,-0.038,-0.876,-0.165,40.523,-169.815,398.028,-436.962,,
220.044,-0.082,0.004,-0.038,-1.182,-0.165,40.523,-177.939,416.493,-395.868,,
220.049,-0.064,0.013,-0.038,-1.182,-0.165,40.523,-177.939,416.493,-395.868,,
220.054,-0.064,0.013,-0.038,-1.191,0.141,41.538,-177.939,416.493,-395.868,,
220.058,-0.064,0.013,-0.047,-1.191,0.141,41.538,-177.939,416.493,-395.868,,
220.063,-0.071,0.016,-0.047,-1.602,0.325,42.501,-177.939,416.493,-288.52,,
220.067,-0.071,0.016,-0.047,-1.602,0.325,42.501,-155.091,424.407,-337.581,,
220.072,-0.073,0.013,-0.05,-1.602,0.325,42.719,-155.091,424.407,-337.581,,
220.076,-0.073,0.013,-0.05,-1.077,0.535,42.719,-155.091,424.407,-337.581,,
220.081,-0.075,0.004,-0.046,-1.077,0.535,42.719,-155.091,424.407,-337.581,,
220.086,-0.075,0.004,-0.046,-0.849,0.342,43.349,-138.843,434.431,-299.842,,
220.09,-0.086,0.004,-0.063,-0.849,0.342,43.349,-138.843,434.431,-299.842,,
220.095,-0.086,0.004,-0.063,-0.911,0.15,43.962,-138.843,434.431,-299.842,,
220.099,-0.086,0.004,-0.052,-0.911,0.15,43.962,-138.843,434.431,-299.842,,
220.104,-0.075,0.007,-0.052,-0.911,0.15,43.962,-138.843,434.431,-299.842,,
220.108,-0.075,0.007,-0.052,-0.744,-0.069,44.172,-110.409,442.344,-278.875,,
220.113,-0.068,0.008,-0.048,-0.744,-0.069,44.172,-110.409,442.344,-278.875,,
220.117,-0.068,0.008,-0.048,-0.683,-0.104,44.478,-110.409,442.344,-278.875,,
220.122,-0.068,0.02,-0.044,-0.683,-0.104,44.478,-110.409,442.344,-278.875,,
220.127,-0.068,0.02,-0.044,-0.683,-0.104,44.697,-86.545,449.202,-240.717,,
220.131,-0.068,0.02,-0.058,-0.981,0.307,44.697,-86.545,449.202,-240.717,,
220.136,-0.07,0.02,-0.058,-0.981,0.307,44.697,-86.545,449.202,-240.717,,
220.14,-0.07,0.02,-0.035,-0.744,0.255,45.222,-86.545,449.202,-240.717,,
220.146,-0.07,-0.001,-0.035,-0.744,0.255,45.222,-86.545,449.202,-224.363,,
220.15,-0.07,-0.001,-0.035,-0.797,0.263,45.37,-55.065,453.423,-224.363,,
220.155,-0.072,0.018,-0.048,-0.797,0.263,45.37,-55.065,453.423,-224.363,,
220.159,-0.072,0.018,-0.048,-0.797,0.263,45.519,-55.065,453.423,-224.363,,
220.164,-0.093,0.01,-0.035,-0.543,0.438,45.519,-55.065,453.423,-224.363,,
220.168,-0.093,0.01,-0.035,-0.543,0.438,45.519,-43.387,444.982,-215.557,,
