,Time,GYRx
219.943,0.000,0.061
219.948,0.005,-0.053
219.953,0.010,-0.132
219.957,0.014,-0.132
219.962,0.019,-0.132
219.966,0.023,-0.263
219.971,0.028,-0.263
219.975,0.032,-0.569
219.98,0.037,-0.569
219.985,0.042,-0.569
219.989,0.046,-1.033
219.994,0.051,-1.033
219.998,0.055,-0.666
220.003,0.060,-0.666
220.008,0.065,-0.692
220.012,0.069,-0.692
220.017,0.074,-0.692
220.021,0.078,-1.024
220.026,0.083,-1.024
220.03,0.087,-0.876
220.035,0.092,-0.876
220.04,0.097,-0.876
220.044,0.101,-1.182
220.049,0.106,-1.182
220.054,0.111,-1.191
220.058,0.115,-1.191
220.063,0.120,-1.602
220.067,0.124,-1.602
220.072,0.129,-1.602
220.076,0.133,-1.077
220.081,0.138,-1.077
220.086,0.143,-0.849
220.09,0.147,-0.849
220.095,0.152,-0.911
220.099,0.156,-0.911
220.104,0.161,-0.911
220.108,0.165,-0.744
220.113,0.170,-0.744
220.117,0.174,-0.683
220.122,0.179,-0.683
220.127,0.184,-0.683
220.131,0.188,-0.981
220.136,0.193,-0.981
220.14,0.197,-0.744
220.146,0.203,-0.744
220.15,0.207,-0.797
220.155,0.212,-0.797
220.159,0.216,-0.797
220.164,0.221,-0.543
220.168,0.225,-0.543
220.173,0.230,-0.639
220.178,0.235,-0.639
220.182,0.239,-0.639
220.187,0.244,-0.639
220.192,0.249,-0.639
220.197,0.254,-1.042
220.201,0.258,-1.042
220.206,0.263,-0.762
220.21,0.267,-0.762
220.215,0.272,-1.033
220.219,0.276,-1.033
220.224,0.281,-1.033
220.229,0.286,-0.937
220.233,0.290,-0.937
220.238,0.295,-0.823
220.242,0.299,-0.823
220.246,0.303,-0.823
220.251,0.308,-0.534
220.255,0.312,-0.534
220.26,0.317,-0.631
220.264,0.321,-0.631
220.269,0.326,-0.613
220.274,0.331,-0.613
220.278,0.335,-0.613
220.283,0.340,-0.674
220.288,0.345,-0.674
220.292,0.349,-0.517
220.297,0.354,-0.517
220.302,0.359,-0.517
220.306,0.363,-0.254
220.31,0.367,-0.254
220.315,0.372,-0.692
220.32,0.377,-0.692
220.324,0.381,-0.928
220.329,0.386,-0.928
220.334,0.391,-0.928
220.338,0.395,-0.744
